title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
"In Bruges";2008;http://www.icheckmovies.com/movies/in+bruges/;38451;4187;4;339;;http://www.imdb.com/title/tt0780536/;"2014-04-23 22:12:56";no;no;no;no
"O Brother, Where Art Thou?";2000;http://www.icheckmovies.com/movies/o+brother+where+art+thouquestion/;37148;3219;5;328;;http://www.imdb.com/title/tt0190590/;"2014-04-23 22:12:51";no;no;no;no
"The Help";2011;http://www.icheckmovies.com/movies/the+help/;21643;1588;4;249;;http://www.imdb.com/title/tt1454029/;"2014-04-23 22:11:42";no;no;no;no
"La battaglia di Algeri";1966;http://www.icheckmovies.com/movies/la+battaglia+di+algeri/;6320;765;24;338;"The Battle of Algiers";http://www.imdb.com/title/tt0058946/;"2014-04-23 22:11:18";no;no;no;no
"Million Dollar Baby";2004;http://www.icheckmovies.com/movies/million+dollar+baby/;52050;2580;10;318;;http://www.imdb.com/title/tt0405159/;"2014-04-23 22:10:38";no;no;no;no
"The Avengers";2012;http://www.icheckmovies.com/movies/the+avengers-2012-1/;48835;3722;9;459;;http://www.imdb.com/title/tt0848228/;"2014-04-23 22:10:28";no;no;no;no
"No Country for Old Men";2007;http://www.icheckmovies.com/movies/no+country+for+old+men/;65309;6031;19;641;;http://www.imdb.com/title/tt0477348/;"2014-04-23 22:10:08";no;no;no;no
"The Thing";1982;http://www.icheckmovies.com/movies/the+thing/;33824;3058;17;529;;http://www.imdb.com/title/tt0084787/;"2014-04-23 22:10:04";no;no;no;no
Casino;1995;http://www.icheckmovies.com/movies/casino/;34140;2183;11;341;;http://www.imdb.com/title/tt0112641/;"2014-04-23 22:09:39";no;no;no;no
Rush;2013;http://www.icheckmovies.com/movies/rush-2013/;9278;831;5;163;;http://www.imdb.com/title/tt1979320/;"2014-04-23 22:09:36";no;no;no;no
"12 Years a Slave";2013;http://www.icheckmovies.com/movies/12+years+a+slave/;15840;1188;12;362;;http://www.imdb.com/title/tt2024544/;"2014-04-23 22:09:27";no;no;no;no
"Der Untergang";2004;http://www.icheckmovies.com/movies/der+untergang/;27025;1796;13;299;Downfall;http://www.imdb.com/title/tt0363163/;"2014-04-23 22:09:08";no;no;no;no
"Die Hard";1988;http://www.icheckmovies.com/movies/die+hard/;73119;4467;16;495;;http://www.imdb.com/title/tt0095016/;"2014-04-23 22:09:06";no;no;no;no
Unforgiven;1992;http://www.icheckmovies.com/movies/unforgiven/;27972;2211;22;493;;http://www.imdb.com/title/tt0105695/;"2014-04-23 22:09:01";no;no;no;no
