title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
"The Hobbit: An Unexpected Journey";2012;http://www.icheckmovies.com/movies/the+hobbit+an+unexpected+journey/;33415;2089;4;334;;http://www.imdb.com/title/tt0903624/;"2014-04-23 23:46:11";no;no;no;no
"The Sound of Music";1965;http://www.icheckmovies.com/movies/the+sound+of+music/;42059;2106;20;340;;http://www.imdb.com/title/tt0059742/;"2014-04-23 23:45:56";no;no;no;no
Casino;1995;http://www.icheckmovies.com/movies/casino/;34108;2182;11;341;;http://www.imdb.com/title/tt0112641/;"2014-04-23 23:45:19";no;no;no;no
"Mean Girls";2004;http://www.icheckmovies.com/movies/mean+girls/;39169;2206;2;201;;http://www.imdb.com/title/tt0377092/;"2014-04-23 23:45:18";no;no;no;no
"The Rocky Horror Picture Show";1975;http://www.icheckmovies.com/movies/the+rocky+horror+picture+show/;25573;2183;9;277;;http://www.imdb.com/title/tt0073629/;"2014-04-23 23:45:17";no;no;no;no
Taken;2008;http://www.icheckmovies.com/movies/taken/;42755;2166;1;162;;http://www.imdb.com/title/tt0936501/;"2014-04-23 23:44:33";no;no;yes;no
"Willy Wonka & the Chocolate Factory";1971;http://www.icheckmovies.com/movies/willy+wonka+and+the+chocolate+factory/;50227;2231;6;222;;http://www.imdb.com/title/tt0067992/;"2014-04-23 23:44:32";no;no;no;no
Rocky;1976;http://www.icheckmovies.com/movies/rocky/;57254;2228;19;419;;http://www.imdb.com/title/tt0075148/;"2014-04-23 23:44:21";no;no;no;no
"Cast Away";2000;http://www.icheckmovies.com/movies/cast+away/;54697;2221;3;191;;http://www.imdb.com/title/tt0162222/;"2014-04-23 23:44:20";no;no;no;no
"Minority Report";2002;http://www.icheckmovies.com/movies/minority+report/;51379;2304;6;284;;http://www.imdb.com/title/tt0181689/;"2014-04-23 23:44:07";no;no;no;no
"Home Alone";1990;http://www.icheckmovies.com/movies/home+alone/;81539;2382;5;216;;http://www.imdb.com/title/tt0099785/;"2014-04-23 23:44:02";no;no;no;no
"The Exorcist";1973;http://www.icheckmovies.com/movies/the+exorcist/;55763;2439;20;569;;http://www.imdb.com/title/tt0070047/;"2014-04-23 23:43:58";no;no;no;no
