title;year;url;checkedcount;favouritecount;officialtoplistcount;usertoplistcount;akatitle;imdburl;checked;favorite;disliked;watchlist;owned
"Rise of the Planet of the Apes";2011;http://www.icheckmovies.com/movies/rise+of+the+planet+of+the+apes/;26610;1060;2;225;;http://www.imdb.com/title/tt1318514/;"2013-04-07 00:56:33";no;no;no;no
Ted;2012;http://www.icheckmovies.com/movies/ted/;19602;614;1;198;;http://www.imdb.com/title/tt1637725/;"2013-04-07 00:56:22";no;no;no;no
"Shrek Forever After";2010;http://www.icheckmovies.com/movies/shrek+forever+after/;24236;201;1;100;;http://www.imdb.com/title/tt0892791/;"2013-04-07 00:16:05";no;no;no;no
"Ice Age: Continental Drift";2012;http://www.icheckmovies.com/movies/ice+age+continental+drift/;9356;134;1;87;;http://www.imdb.com/title/tt1667889/;"2013-04-07 00:15:52";no;no;no;no
"Ice Age: Dawn of the Dinosaurs";2009;http://www.icheckmovies.com/movies/ice+age+dawn+of+the+dinosaurs/;34868;445;1;99;;http://www.imdb.com/title/tt1080016/;"2013-04-07 00:15:50";no;no;no;no
"The Hobbit: An Unexpected Journey";2012;http://www.icheckmovies.com/movies/the+hobbit+an+unexpected+journey/;33415;2089;4;334;;http://www.imdb.com/title/tt0903624/;"2013-04-07 00:15:47";no;no;no;no
"Pirates of the Caribbean: On Stranger Tides";2011;http://www.icheckmovies.com/movies/pirates+of+the+caribbean+on+stranger+tides/;30262;486;1;179;;http://www.imdb.com/title/tt1298650/;"2013-04-07 00:15:45";no;no;no;no
Skyfall;2012;http://www.icheckmovies.com/movies/skyfall/;29278;1577;4;351;;http://www.imdb.com/title/tt1074638/;"2013-04-07 00:15:43";no;no;no;no
"The Devil Wears Prada";2006;http://www.icheckmovies.com/movies/the+devil+wears+prada/;50733;1768;2;158;;http://www.imdb.com/title/tt0458352/;"2013-04-07 00:15:28";no;no;no;no
Milk;2008;http://www.icheckmovies.com/movies/milk/;18905;1165;2;208;;http://www.imdb.com/title/tt1013753/;"2013-04-04 23:35:36";no;no;no;no
"Tinker Tailor Soldier Spy";2011;http://www.icheckmovies.com/movies/tinker+tailor+soldier+spy-2011-1/;11825;694;1;251;;http://www.imdb.com/title/tt1340800/;"2013-04-04 23:33:26";no;no;no;no
Shaft;1971;http://www.icheckmovies.com/movies/shaft/;4300;72;7;121;;http://www.imdb.com/title/tt0067741/;"2013-04-04 23:33:00";no;no;no;no
Shame;2011;http://www.icheckmovies.com/movies/shame-2011/;11552;1026;2;254;;http://www.imdb.com/title/tt1723811/;"2013-04-04 23:32:58";no;no;no;no
Lolita;1962;http://www.icheckmovies.com/movies/lolita/;12894;822;9;239;;http://www.imdb.com/title/tt0056193/;"2013-04-04 23:31:33";no;no;no;no
